run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg
168757,19,2,0,0.657,0.775,3.912,17.78,18.0,123.938,156.11,156.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,1,0.657,0.785,4.082,17.695,17.0,117.348,155.95,156.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,2,0.657,0.785,4.354,17.67,17.0,109.61,155.583,156.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,3,0.657,0.79,4.604,17.715,18.0,103.574,155.69,156.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,4,0.657,0.79,4.638,17.728,18.0,106.058,155.408,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,5,0.657,0.78,4.851,17.75,18.0,105.069,155.222,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,6,0.657,0.785,4.673,17.693,17.0,106.148,155.36,156.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,7,0.656,0.775,4.601,17.638,17.0,104.982,155.269,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,8,0.656,0.78,4.697,17.676,17.0,101.827,155.321,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,9,0.656,0.775,4.68,17.674,17.0,100.836,155.097,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,10,0.657,0.785,4.652,17.669,17.0,100.955,155.084,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,11,0.657,0.79,4.696,17.676,17.0,98.594,155.038,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,12,0.657,0.78,4.62,17.682,17.0,100.163,155.142,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,13,0.657,0.78,4.612,17.674,17.0,99.172,155.114,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,14,0.657,0.78,4.665,17.688,17.0,100.025,155.295,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,15,0.657,0.785,4.595,17.686,17.0,100.511,155.233,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,16,0.658,0.785,4.569,17.681,17.0,100.065,155.249,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,17,0.657,0.79,4.587,17.678,17.0,100.314,155.252,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,18,0.657,0.785,4.55,17.679,17.0,100.361,155.299,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,19,0.657,0.785,4.557,17.682,17.0,101.117,155.292,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,20,0.657,0.79,4.585,17.67,17.0,100.34,155.243,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,21,0.657,0.79,4.622,17.656,17.0,99.917,155.182,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,22,0.657,0.79,4.625,17.657,17.0,100.018,155.231,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,23,0.657,0.79,4.629,17.665,17.0,100.65,155.299,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,24,0.657,0.79,4.597,17.662,17.0,101.324,155.286,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,25,0.657,0.79,4.604,17.655,17.0,101.474,155.327,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,26,0.657,0.79,4.593,17.651,17.0,101.121,155.291,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,27,0.657,0.79,4.569,17.637,17.0,100.94,155.32,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,28,0.657,0.79,4.567,17.63,17.0,101.487,155.3,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,29,0.657,0.79,4.559,17.634,17.0,101.68,155.353,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,30,0.657,0.79,4.603,17.628,17.0,100.897,155.388,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,31,0.657,0.79,4.631,17.631,17.0,101.228,155.376,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,32,0.657,0.79,4.62,17.635,17.0,101.186,155.36,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,33,0.657,0.79,4.605,17.646,17.0,100.848,155.331,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
168757,19,2,34,0.657,0.79,4.602,17.651,17.0,100.912,155.377,155.0,0.79,4.682,17.634,17.0,101.519,155.799,156.0,0.669
