run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,median_default_params
168757,0,25,34,0.688,0.75,12.408,10.668,10.0,1403.742,40.63,31.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,35,0.688,0.75,12.309,10.619,10.0,1375.275,40.154,30.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,36,0.689,0.75,12.272,10.548,10.0,1350.8,39.603,30.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,37,0.689,0.745,12.283,10.469,10.0,1327.872,39.045,30.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,38,0.689,0.745,12.264,10.394,10.0,1305.626,38.512,29.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,39,0.689,0.745,12.253,10.324,10.0,1283.679,38.016,29.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,40,0.689,0.745,12.233,10.255,10.0,1262.997,37.522,29.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,41,0.689,0.745,12.135,10.198,10.0,1242.323,37.061,28.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,42,0.689,0.74,12.05,10.148,10.0,1222.559,36.621,28.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,43,0.689,0.74,11.987,10.092,10.0,1204.308,36.162,28.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,44,0.689,0.74,11.878,10.047,10.0,1185.883,35.741,27.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,45,0.689,0.735,11.791,10.001,10.0,1167.604,35.346,27.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,46,0.689,0.735,11.725,9.955,9.0,1150.084,34.972,27.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,47,0.689,0.74,11.718,9.9,9.0,1134.172,34.574,26.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,48,0.689,0.735,11.677,9.851,9.0,1118.325,34.2,26.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,49,0.689,0.735,11.662,9.802,9.0,1102.917,33.841,26.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,50,0.689,0.735,11.566,9.764,9.0,1087.105,33.513,25.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,51,0.689,0.735,11.499,9.724,9.0,1072.292,33.183,25.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,52,0.689,0.735,11.424,9.689,9.0,1057.688,32.867,25.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,53,0.689,0.735,11.32,9.655,9.0,1042.808,32.588,24.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,54,0.69,0.735,11.253,9.619,9.0,1028.687,32.302,24.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,55,0.69,0.74,11.2,9.587,9.0,1014.784,32.035,24.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,56,0.69,0.74,11.145,9.553,9.0,1002.014,31.75,24.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,57,0.69,0.74,11.092,9.522,9.0,989.268,31.484,23.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,58,0.69,0.74,11.009,9.496,9.0,976.443,31.244,23.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,59,0.69,0.74,10.94,9.466,9.0,963.862,31.015,23.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,60,0.69,0.74,10.883,9.433,9.0,951.766,30.782,23.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
