run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline
359954,20,0.5186,0.9562,0.6622,19.34,1875.33,0.6756756756756757
359954,21,0.5187,0.9562,0.6622,18.87,1885.97,0.6756756756756757
359954,22,0.5189,0.9577,0.6622,18.48,1892.83,0.6756756756756757
359954,23,0.5192,0.9592,0.6622,18.1,1888.51,0.6756756756756757
359954,24,0.5195,0.9592,0.6622,17.68,1884.44,0.6756756756756757
359954,25,0.5198,0.9592,0.6622,17.43,1882.39,0.6756756756756757
359954,26,0.5204,0.9607,0.6622,17.11,1876.48,0.6756756756756757
359954,27,0.5208,0.9622,0.6622,16.79,1863.34,0.6756756756756757
359954,28,0.5211,0.9622,0.6622,16.43,1846.52,0.6756756756756757
359954,29,0.5211,0.9637,0.6622,16.15,1830.72,0.6756756756756757
359954,30,0.5213,0.9637,0.6622,15.94,1819.99,0.6756756756756757
359954,31,0.5216,0.9653,0.6622,15.71,1807.86,0.6756756756756757
359954,32,0.5219,0.9653,0.6622,15.53,1797.63,0.6756756756756757
359954,33,0.5223,0.9668,0.6622,15.31,1786.48,0.6756756756756757
359954,34,0.5228,0.9683,0.6622,15.12,1776.16,0.6756756756756757
359954,35,0.523,0.9698,0.6622,14.92,1758.1,0.6756756756756757
359954,36,0.5232,0.9713,0.6486,14.73,1740.06,0.6756756756756757
359954,37,0.5231,0.9713,0.6486,14.62,1721.92,0.6756756756756757
359954,38,0.5232,0.9728,0.6622,14.46,1701.96,0.6756756756756757
359954,39,0.5234,0.9743,0.6622,14.28,1685.57,0.6756756756756757
359954,40,0.5234,0.9743,0.6622,14.12,1669.58,0.6756756756756757
359954,41,0.5233,0.9743,0.6757,13.96,1652.7,0.6756756756756757
359954,42,0.5233,0.9773,0.6757,13.8,1635.59,0.6756756756756757
359954,43,0.5234,0.9773,0.6757,13.67,1618.78,0.6756756756756757
359954,44,0.5236,0.9758,0.6622,13.53,1600.69,0.6756756756756757
359954,45,0.5235,0.9758,0.6622,13.41,1583.93,0.6756756756756757
359954,46,0.5237,0.9773,0.6622,13.32,1570.58,0.6756756756756757
359954,47,0.5239,0.9773,0.6622,13.23,1553.1,0.6756756756756757
359954,48,0.5241,0.9804,0.6622,13.09,1537.55,0.6756756756756757
359954,49,0.5241,0.9804,0.6622,12.98,1522.74,0.6756756756756757
2073,0,0.4764,0.5843,0.6107,12.53,115.5,0.7181208053691275
2073,1,0.4764,0.5843,0.6107,12.53,115.5,0.7181208053691275
2073,2,0.4815,0.5895,0.6174,13.73,140.54,0.7181208053691275
2073,3,0.4892,0.6015,0.6174,15.9,177.8,0.7181208053691275
2073,4,0.4938,0.612,0.6242,16.83,205.77,0.7181208053691275
2073,5,0.4985,0.6187,0.651,18.75,227.17,0.7181208053691275
2073,6,0.5037,0.621,0.651,20.11,244.36,0.7181208053691275
2073,7,0.5071,0.6262,0.6376,21.71,260.73,0.7181208053691275
2073,8,0.5088,0.6262,0.6376,21.94,273.71,0.7181208053691275
2073,9,0.5101,0.633,0.6443,22.01,284.94,0.7181208053691275
2073,10,0.5121,0.6404,0.651,22.28,295.75,0.7181208053691275
2073,11,0.5148,0.6397,0.651,22.61,310.59,0.7181208053691275
2073,12,0.5165,0.6404,0.651,22.4,326.82,0.7181208053691275
2073,13,0.5189,0.6479,0.651,22.25,344.31,0.7181208053691275
