run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline
190146,0,0.6398,0.8029,0.7412,3.81,65.23,0.7764705882352941
190146,1,0.6398,0.8029,0.7412,3.81,65.23,0.7764705882352941
190146,2,0.6461,0.8489,0.7412,4.65,108.89,0.7764705882352941
190146,3,0.6489,0.8975,0.7412,7.35,266.55,0.7764705882352941
190146,4,0.6528,0.9093,0.7294,8.42,333.23,0.7764705882352941
190146,5,0.6563,0.9198,0.7294,8.27,349.9,0.7764705882352941
190146,6,0.6578,0.9212,0.7294,7.82,386.06,0.7764705882352941
190146,7,0.6596,0.933,0.7294,7.74,402.84,0.7764705882352941
190146,8,0.6601,0.9382,0.7412,7.46,420.82,0.7764705882352941
190146,9,0.6611,0.9409,0.7294,7.17,411.29,0.7764705882352941
190146,10,0.6613,0.9409,0.7412,6.88,406.71,0.7764705882352941
190146,11,0.6614,0.9474,0.7294,6.76,406.43,0.7764705882352941
190146,12,0.6615,0.9514,0.7294,6.66,415.51,0.7764705882352941
190146,13,0.6623,0.9566,0.7412,6.61,425.1,0.7764705882352941
190146,14,0.6624,0.9566,0.7412,6.47,439.64,0.7764705882352941
190146,15,0.6624,0.9632,0.7294,6.42,441.84,0.7764705882352941
190146,16,0.6626,0.9645,0.7294,6.38,452.04,0.7764705882352941
190146,17,0.6632,0.9698,0.7176,6.24,451.24,0.7764705882352941
190146,18,0.6631,0.9724,0.7176,6.16,452.3,0.7764705882352941
190146,19,0.664,0.975,0.7176,6.0,451.95,0.7764705882352941
190146,20,0.6641,0.9763,0.7176,5.86,459.25,0.7764705882352941
190146,21,0.6647,0.9763,0.7176,5.73,465.95,0.7764705882352941
190146,22,0.665,0.9777,0.7176,5.63,474.7,0.7764705882352941
190146,23,0.6656,0.9803,0.7176,5.53,487.96,0.7764705882352941
190146,24,0.6659,0.9816,0.7176,5.54,501.15,0.7764705882352941
190146,25,0.6663,0.9816,0.7176,5.58,509.06,0.7764705882352941
190146,26,0.6666,0.9829,0.7176,5.59,520.91,0.7764705882352941
190146,27,0.6671,0.9855,0.7412,5.52,526.48,0.7764705882352941
190146,28,0.6678,0.9855,0.7529,5.42,535.5,0.7764705882352941
190146,29,0.668,0.9869,0.7529,5.32,548.22,0.7764705882352941
190146,30,0.6681,0.9895,0.7529,5.25,557.16,0.7764705882352941
190146,31,0.6683,0.9895,0.7412,5.21,560.71,0.7764705882352941
190146,32,0.6685,0.9895,0.7412,5.17,566.74,0.7764705882352941
190146,33,0.6687,0.9895,0.7529,5.17,569.42,0.7764705882352941
190146,34,0.6688,0.9895,0.7529,5.2,573.29,0.7764705882352941
190146,35,0.6691,0.9895,0.7529,5.23,576.02,0.7764705882352941
190146,36,0.6693,0.9895,0.7529,5.22,576.78,0.7764705882352941
190146,37,0.6694,0.9908,0.7529,5.31,577.69,0.7764705882352941
190146,38,0.6694,0.9934,0.7529,5.34,579.46,0.7764705882352941
