run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg
190411,6,1,36,0.787,0.847,13.636,33.318,33.0,567.288,493.289,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,37,0.787,0.847,13.543,33.331,33.0,567.148,493.21,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,38,0.787,0.847,13.629,33.343,33.0,565.085,493.337,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,39,0.787,0.847,13.608,33.34,33.0,562.494,493.386,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,40,0.787,0.847,13.651,33.377,33.0,561.354,493.48,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,41,0.787,0.847,13.644,33.378,33.0,561.283,493.533,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,42,0.787,0.847,13.631,33.395,33.0,565.019,493.523,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,43,0.787,0.847,13.705,33.407,33.0,565.82,493.521,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,44,0.787,0.848,13.632,33.412,33.0,568.385,493.508,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,45,0.787,0.849,13.609,33.415,33.0,568.731,493.544,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,46,0.787,0.848,13.635,33.412,33.0,567.933,493.615,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,47,0.787,0.846,13.636,33.406,33.0,565.265,493.71,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,48,0.787,0.846,13.721,33.416,33.0,564.98,493.687,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,49,0.787,0.846,13.765,33.425,33.0,566.98,493.738,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,50,0.787,0.848,13.741,33.431,33.0,565.457,493.684,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,51,0.787,0.847,13.774,33.45,33.0,565.271,493.599,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,52,0.787,0.848,13.745,33.434,33.0,563.217,493.68,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,53,0.787,0.849,13.786,33.434,33.0,562.689,493.676,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,54,0.787,0.849,13.802,33.422,33.0,561.294,493.727,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,55,0.787,0.849,13.772,33.413,33.0,563.155,493.726,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,56,0.787,0.851,13.787,33.409,33.0,565.278,493.661,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,57,0.787,0.849,13.785,33.424,33.0,563.702,493.652,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,58,0.787,0.848,13.832,33.43,33.0,562.226,493.682,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,59,0.787,0.848,13.866,33.43,33.0,561.225,493.73,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,60,0.787,0.847,13.858,33.435,33.0,561.751,493.763,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,61,0.787,0.848,13.916,33.446,33.0,561.607,493.696,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,62,0.787,0.846,13.949,33.45,33.0,562.375,493.68,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,63,0.787,0.847,13.995,33.458,33.0,564.686,493.725,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,64,0.787,0.847,13.97,33.454,33.0,565.875,493.759,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,65,0.787,0.847,13.956,33.448,33.0,566.829,493.722,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,66,0.787,0.846,13.943,33.445,33.0,565.845,493.744,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,67,0.787,0.846,13.928,33.454,33.0,565.826,493.745,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,68,0.787,0.846,13.887,33.451,33.0,564.064,493.708,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,69,0.787,0.846,13.9,33.452,33.0,565.417,493.699,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,70,0.787,0.846,13.894,33.453,33.0,564.993,493.684,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
