run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,bootstrap_diversity_mean,bootstrap_diversity_var
168757,0,25,0,0.665,0.775,6.446,18.12,18.0,109.41,154.3,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,0.0
168757,0,25,1,0.664,0.785,5.86,18.01,18.0,113.08,154.6,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.0
168757,0,25,2,0.664,0.775,5.153,17.987,18.0,106.369,154.463,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,0.0
168757,0,25,3,0.665,0.78,5.075,17.912,18.0,105.343,154.098,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.0
168757,0,25,4,0.665,0.775,5.156,17.902,18.0,103.04,153.95,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,0.0
168757,0,25,5,0.666,0.78,5.446,17.955,18.0,102.706,153.733,153.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,6,0.665,0.78,5.268,17.891,18.0,106.053,154.019,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.0
168757,0,25,7,0.665,0.775,5.159,17.92,18.0,107.324,154.075,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,0.0
168757,0,25,8,0.666,0.77,4.983,17.909,18.0,107.474,154.052,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.63,0.0
168757,0,25,9,0.666,0.77,4.982,17.872,18.0,108.802,154.048,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,0.0
168757,0,25,10,0.665,0.77,5.019,17.897,18.0,108.008,154.275,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,0.0
168757,0,25,11,0.665,0.775,5.002,17.904,18.0,107.269,154.227,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,12,0.665,0.77,5.056,17.937,18.0,106.715,154.34,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,13,0.664,0.775,5.088,17.91,18.0,106.932,154.247,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,14,0.664,0.78,5.088,17.895,18.0,107.072,154.269,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,0.0
168757,0,25,15,0.665,0.77,5.029,17.871,18.0,105.458,154.189,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,0.0
168757,0,25,16,0.665,0.77,4.967,17.871,18.0,104.352,154.102,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,0.0
168757,0,25,17,0.664,0.765,4.95,17.873,18.0,104.715,154.202,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,18,0.664,0.775,4.885,17.871,18.0,104.55,154.193,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.0
168757,0,25,19,0.664,0.78,4.864,17.888,18.0,104.432,154.246,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.0
168757,0,25,20,0.664,0.775,4.854,17.892,18.0,104.056,154.235,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.0
