run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,bootstrap_diversity_mean,bootstrap_diversity_var
146820,1,2,0,0.967,0.982,5.261,12.33,12.0,162.085,63.43,62.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.633,3e-05
146820,1,2,1,0.967,0.982,4.202,12.305,12.0,154.804,64.145,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,2.5e-05
146820,1,2,2,0.967,0.982,4.025,12.303,12.0,138.498,64.22,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.633,2.4e-05
146820,1,2,3,0.967,0.982,4.028,12.272,12.0,128.16,64.01,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.633,3e-05
146820,1,2,4,0.967,0.983,3.814,12.24,12.0,125.679,64.106,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,3e-05
146820,1,2,5,0.967,0.983,3.697,12.23,12.0,122.373,64.178,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.633,2.9e-05
146820,1,2,6,0.967,0.982,3.78,12.241,12.0,124.979,64.073,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,3.2e-05
146820,1,2,7,0.967,0.982,3.79,12.23,12.0,126.309,63.989,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,3.1e-05
146820,1,2,8,0.967,0.983,3.829,12.232,12.0,126.608,63.959,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,2.6e-05
146820,1,2,9,0.967,0.983,3.71,12.231,12.0,126.022,63.967,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,2.9e-05
146820,1,2,10,0.967,0.983,3.775,12.234,12.0,124.895,64.014,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,3.8e-05
146820,1,2,11,0.967,0.982,3.748,12.25,12.0,125.657,64.031,63.0,0.983,3.478,12.188,12.0,119.753,63.933,63.0,0.967,0.632,2.4e-05
