run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,avg_default_params
359955,2,10,0,0.726,0.76,3.804,14.58,14.0,37.582,88.28,88.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,6.0
359955,2,10,1,0.726,0.76,3.804,14.58,14.0,37.582,88.28,88.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.23
359955,2,10,2,0.739,0.787,18.555,12.353,13.5,1051.365,68.853,84.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.58
359955,2,10,3,0.747,0.8,26.569,10.395,12.0,1469.446,53.905,78.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.92
359955,2,10,4,0.753,0.807,28.252,9.14,8.0,1520.196,44.684,21.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.65
359955,2,10,5,0.756,0.813,26.983,8.418,6.0,1448.623,38.795,15.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.54
359955,2,10,6,0.758,0.8,25.404,7.9,6.0,1351.818,34.687,13.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.62
359955,2,10,7,0.76,0.8,23.694,7.524,6.0,1254.672,31.601,12.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.69
359955,2,10,8,0.761,0.8,22.205,7.232,5.0,1167.057,29.296,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.56
359955,2,10,9,0.762,0.8,20.823,7.049,5.0,1083.567,27.581,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.59
359955,2,10,10,0.763,0.8,19.691,6.89,5.0,1013.874,26.115,11.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.58
359955,2,10,11,0.763,0.8,18.67,6.746,5.0,956.757,24.9,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.61
359955,2,10,12,0.764,0.8,17.749,6.635,5.0,901.038,23.912,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.51
359955,2,10,13,0.765,0.8,17.174,6.496,5.0,855.173,22.846,9.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.64
