run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,bootstrap_diversity_mean,bootstrap_diversity_var
168757,0,25,0,0.66,0.775,6.338,17.89,17.0,91.773,155.87,155.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.000127
168757,0,25,1,0.665,0.775,5.843,18.205,18.0,81.244,155.965,156.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,0.000117
168757,0,25,2,0.663,0.77,5.519,18.21,18.0,81.245,156.137,156.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,0.000108
168757,0,25,3,0.664,0.77,5.435,18.192,18.0,86.851,155.562,156.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.637,0.000164
168757,0,25,4,0.665,0.78,5.458,18.282,18.0,88.32,155.364,156.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.000141
168757,0,25,5,0.664,0.78,5.335,18.232,18.0,92.546,155.075,155.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.63,0.000145
168757,0,25,6,0.665,0.78,5.183,18.22,18.0,93.943,154.774,155.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.628,0.000163
168757,0,25,7,0.665,0.78,5.085,18.184,18.0,90.915,154.4,155.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.623,0.000161
168757,0,25,8,0.666,0.78,5.011,18.176,18.0,91.339,154.226,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.629,0.000174
168757,0,25,9,0.667,0.78,5.096,18.159,18.0,96.623,153.596,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.627,0.000103
168757,0,25,10,0.667,0.78,5.056,18.163,18.0,96.769,153.549,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.627,0.000119
168757,0,25,11,0.667,0.785,5.027,18.148,18.0,96.294,153.598,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.629,0.000188
168757,0,25,12,0.668,0.785,4.922,18.117,18.0,96.562,153.604,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,0.000152
