run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,bootstrap_diversity_mean,bootstrap_diversity_var
168911,11,2,0,0.709,0.787,10.312,22.74,22.0,198.178,309.04,310.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.633,4.9e-05
168911,11,2,1,0.711,0.789,10.325,22.57,22.0,193.084,307.66,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,5.1e-05
168911,11,2,2,0.71,0.791,9.366,22.603,22.0,181.673,307.993,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,4.8e-05
168911,11,2,3,0.71,0.791,8.73,22.492,22.0,171.476,307.935,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,4.8e-05
168911,11,2,4,0.71,0.792,8.332,22.45,22.0,176.353,308.468,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.633,5.5e-05
168911,11,2,5,0.71,0.792,7.809,22.437,22.0,180.767,308.69,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,4.1e-05
168911,11,2,6,0.71,0.794,7.47,22.38,22.0,182.482,308.75,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,5e-05
168911,11,2,7,0.71,0.796,7.465,22.412,22.0,187.066,308.372,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,5.9e-05
168911,11,2,8,0.71,0.797,7.421,22.448,22.0,192.557,308.434,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,4.9e-05
168911,11,2,9,0.71,0.799,7.442,22.492,22.0,195.011,308.431,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,4.6e-05
168911,11,2,10,0.71,0.797,7.339,22.501,22.0,192.665,308.674,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,4.5e-05
168911,11,2,11,0.71,0.797,7.303,22.502,22.0,190.998,308.732,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,5.2e-05
168911,11,2,12,0.71,0.797,7.139,22.502,22.0,192.054,308.648,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,5.6e-05
168911,11,2,13,0.71,0.799,7.103,22.509,22.0,188.938,308.628,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,7e-05
168911,11,2,14,0.71,0.796,7.147,22.491,22.0,187.225,308.683,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.633,5.8e-05
168911,11,2,15,0.71,0.799,7.101,22.479,22.0,187.951,308.609,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.633,3.9e-05
168911,11,2,16,0.71,0.797,7.083,22.504,22.0,189.689,308.65,308.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,5.9e-05
168911,11,2,17,0.71,0.797,7.08,22.478,22.0,188.487,308.789,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,4.5e-05
168911,11,2,18,0.71,0.797,7.096,22.462,22.0,187.575,308.699,309.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,5.6e-05
168911,11,2,19,0.71,0.799,7.144,22.459,22.0,185.602,308.635,308.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.633,5.6e-05
168911,11,2,20,0.71,0.799,7.134,22.45,22.0,184.874,308.59,308.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.632,6.7e-05
168911,11,2,21,0.71,0.797,7.114,22.448,22.0,184.316,308.341,308.0,0.802,6.784,22.44,22.0,185.427,309.306,309.0,0.741,0.631,5.6e-05
