run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,avg_default_params
359955,2,10,0,0.722,0.753,2.581,14.17,14.0,37.786,88.71,88.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,6.0
359955,2,10,1,0.722,0.753,2.581,14.17,14.0,37.786,88.71,88.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,5.49
359955,2,10,2,0.723,0.767,5.113,13.87,14.0,241.91,85.017,88.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,4.93
359955,2,10,3,0.728,0.767,11.719,13.075,14.0,734.942,76.59,87.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,4.3
359955,2,10,4,0.738,0.78,18.57,11.88,13.0,1201.528,65.54,85.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.62
359955,2,10,5,0.745,0.78,20.641,10.985,12.5,1342.693,57.653,80.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.46
359955,2,10,6,0.751,0.787,19.967,10.497,12.0,1292.894,52.849,47.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.33
359955,2,10,7,0.755,0.793,19.044,10.168,11.0,1223.267,49.294,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.1
359955,2,10,8,0.759,0.793,18.305,9.93,11.0,1159.455,46.399,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.88
359955,2,10,9,0.761,0.793,17.345,9.818,11.0,1097.729,44.021,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.59
359955,2,10,10,0.762,0.807,16.235,9.828,11.0,1041.062,42.016,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.45
359955,2,10,11,0.763,0.807,15.228,9.845,11.0,987.889,40.338,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.28
359955,2,10,12,0.764,0.8,14.419,9.832,11.0,939.066,38.922,25.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.25
359955,2,10,13,0.765,0.807,13.712,9.824,11.0,893.898,37.708,25.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.21
359955,2,10,14,0.766,0.793,13.079,9.808,11.0,851.744,36.635,24.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.09
359955,2,10,15,0.766,0.793,12.579,9.778,11.0,813.94,35.705,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.81
359955,2,10,16,0.767,0.793,12.266,9.724,11.0,781.315,34.778,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.7
359955,2,10,17,0.767,0.773,11.945,9.678,11.0,750.293,33.983,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.56
359955,2,10,18,0.768,0.773,11.639,9.649,11.0,720.839,33.299,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.5
359955,2,10,19,0.768,0.773,11.358,9.638,11.0,693.643,32.776,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.64
359955,2,10,20,0.769,0.773,11.075,9.616,11.0,668.376,32.312,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.52
359955,2,10,21,0.769,0.773,10.782,9.608,11.0,644.768,32.02,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.6
359955,2,10,22,0.769,0.773,10.598,9.595,11.0,624.082,31.823,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.52
359955,2,10,23,0.77,0.773,10.342,9.597,11.0,603.967,31.658,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.58
359955,2,10,24,0.77,0.773,10.132,9.584,11.0,586.857,31.629,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.63
359955,2,10,25,0.77,0.773,9.84,9.607,11.0,572.813,31.927,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.57
359955,2,10,26,0.77,0.787,9.619,9.63,11.0,563.703,32.395,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.56
359955,2,10,27,0.77,0.787,9.38,9.671,11.0,557.247,33.003,23.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.49
359955,2,10,28,0.77,0.787,9.182,9.708,11.0,550.522,33.549,24.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.41
359955,2,10,29,0.77,0.787,8.982,9.741,11.0,542.933,34.053,24.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.45
359955,2,10,30,0.77,0.787,8.785,9.779,11.0,535.372,34.541,25.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.35
359955,2,10,31,0.771,0.787,8.583,9.811,11.0,527.131,34.989,25.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.44
359955,2,10,32,0.771,0.787,8.427,9.842,11.0,520.787,35.452,25.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.53
359955,2,10,33,0.771,0.787,8.25,9.864,11.0,514.128,35.892,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.43
359955,2,10,34,0.771,0.787,8.105,9.891,11.0,507.347,36.291,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.63
359955,2,10,35,0.771,0.787,7.956,9.908,11.0,500.112,36.655,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.59
359955,2,10,36,0.771,0.787,7.814,9.92,11.0,493.144,36.979,26.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.64
359955,2,10,37,0.771,0.787,7.724,9.934,11.0,486.733,37.309,27.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.62
359955,2,10,38,0.771,0.787,7.668,9.955,11.0,480.846,37.626,28.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.37
359955,2,10,39,0.772,0.793,7.569,9.977,11.0,474.626,37.94,29.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.55
359955,2,10,40,0.772,0.793,7.456,10.0,11.0,468.988,38.267,31.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.45
359955,2,10,41,0.772,0.793,7.375,10.021,11.0,463.607,38.548,34.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.36
359955,2,10,42,0.772,0.807,7.262,10.046,11.0,457.929,38.844,35.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.24
359955,2,10,43,0.772,0.807,7.147,10.068,11.0,452.26,39.13,36.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.03
359955,2,10,44,0.772,0.807,7.05,10.089,11.0,446.874,39.38,37.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.09
359955,2,10,45,0.772,0.807,6.943,10.106,11.0,440.988,39.617,39.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.17
359955,2,10,46,0.772,0.807,6.858,10.12,11.0,435.948,39.83,40.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.16
359955,2,10,47,0.772,0.807,6.785,10.127,11.0,431.278,40.03,41.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.02
359955,2,10,48,0.772,0.807,6.683,10.14,11.0,425.506,40.222,41.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.09
359955,2,10,49,0.772,0.8,6.618,10.149,11.0,420.322,40.414,41.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.17
359955,2,10,50,0.772,0.8,6.544,10.159,11.0,415.116,40.592,42.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.06
359955,2,10,51,0.772,0.787,6.476,10.162,11.0,410.195,40.745,44.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.16
359955,2,10,52,0.772,0.787,6.389,10.175,11.0,405.24,40.929,46.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.01
359955,2,10,53,0.772,0.787,6.308,10.183,11.0,401.229,41.102,46.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.95
359955,2,10,54,0.772,0.787,6.241,10.185,11.0,396.714,41.237,46.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.95
359955,2,10,55,0.772,0.787,6.167,10.187,11.0,392.111,41.368,46.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.0
359955,2,10,56,0.772,0.787,6.108,10.19,11.0,387.81,41.479,46.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.92
359955,2,10,57,0.772,0.787,6.089,10.188,11.0,383.905,41.573,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.91
359955,2,10,58,0.772,0.787,6.018,10.188,11.0,379.436,41.671,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,59,0.772,0.787,5.963,10.191,11.0,375.82,41.8,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.95
359955,2,10,60,0.772,0.787,5.898,10.199,11.0,372.287,41.958,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.94
359955,2,10,61,0.772,0.787,5.872,10.197,11.0,368.987,42.052,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.96
359955,2,10,62,0.772,0.787,5.844,10.196,11.0,365.83,42.153,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,63,0.772,0.787,5.785,10.196,11.0,362.239,42.256,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,64,0.772,0.787,5.721,10.198,11.0,358.704,42.364,47.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.94
359955,2,10,65,0.772,0.787,5.687,10.199,11.0,355.753,42.452,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.89
359955,2,10,66,0.772,0.787,5.637,10.202,11.0,352.421,42.557,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.89
359955,2,10,67,0.772,0.787,5.58,10.202,11.0,348.933,42.626,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,68,0.772,0.787,5.587,10.195,11.0,346.538,42.665,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.92
359955,2,10,69,0.772,0.787,5.533,10.193,11.0,342.831,42.711,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.96
359955,2,10,70,0.772,0.787,5.516,10.19,11.0,340.432,42.78,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.89
359955,2,10,71,0.772,0.787,5.456,10.193,11.0,337.394,42.87,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,72,0.772,0.787,5.429,10.193,11.0,334.907,42.947,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.94
359955,2,10,73,0.772,0.787,5.379,10.201,11.0,332.024,43.057,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.95
359955,2,10,74,0.772,0.787,5.344,10.201,11.0,329.35,43.135,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,75,0.772,0.787,5.295,10.2,11.0,326.397,43.207,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.92
359955,2,10,76,0.772,0.787,5.248,10.205,11.0,323.715,43.316,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,77,0.772,0.787,5.214,10.206,11.0,321.29,43.397,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.88
359955,2,10,78,0.772,0.787,5.173,10.209,11.0,318.809,43.492,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.87
359955,2,10,79,0.772,0.787,5.131,10.215,11.0,316.63,43.593,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.89
359955,2,10,80,0.772,0.787,5.126,10.215,11.0,314.579,43.663,48.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.92
359955,2,10,81,0.772,0.787,5.08,10.22,11.0,312.077,43.759,49.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.9
359955,2,10,82,0.772,0.787,5.049,10.23,11.0,310.049,43.863,49.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,83,0.772,0.787,5.037,10.237,11.0,308.538,43.956,49.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.94
359955,2,10,84,0.772,0.787,5.012,10.242,11.0,306.289,44.03,49.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.95
359955,2,10,85,0.772,0.787,4.99,10.247,11.0,303.973,44.099,49.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.96
