run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,bootstrap_diversity_mean,bootstrap_diversity_var
168757,0,25,0,0.66,0.74,5.494,17.92,17.5,103.273,154.63,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.000163
168757,0,25,1,0.662,0.76,4.942,18.055,18.0,103.291,154.67,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.000168
168757,0,25,2,0.664,0.78,4.793,18.103,18.0,101.718,154.32,154.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,0.00029
168757,0,25,3,0.666,0.77,4.627,17.982,18.0,93.063,153.802,153.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.637,0.000291
168757,0,25,4,0.668,0.77,4.504,17.992,18.0,94.692,153.15,153.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.648,0.00019
168757,0,25,5,0.669,0.77,4.691,18.065,18.0,99.376,153.198,153.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.656,9.6e-05
168757,0,25,6,0.669,0.77,4.721,18.089,18.0,99.066,152.929,153.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.647,0.000125
168757,0,25,7,0.669,0.765,4.743,18.101,18.0,101.027,152.48,152.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.646,0.000107
168757,0,25,8,0.67,0.77,4.72,18.096,18.0,98.837,152.26,152.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.645,7.8e-05
168757,0,25,9,0.669,0.77,4.901,18.089,18.0,99.888,151.898,151.5,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.641,8.5e-05
168757,0,25,10,0.669,0.765,4.802,18.095,18.0,99.947,151.645,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.637,7.4e-05
168757,0,25,11,0.669,0.76,4.855,18.102,18.0,99.78,151.366,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,6.8e-05
168757,0,25,12,0.669,0.755,4.796,18.13,18.0,98.006,151.156,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,3.5e-05
168757,0,25,13,0.668,0.755,4.831,18.147,18.0,98.908,151.019,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.637,5.2e-05
168757,0,25,14,0.668,0.755,4.794,18.159,18.0,98.651,150.977,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,6.4e-05
168757,0,25,15,0.668,0.76,4.917,18.184,18.0,98.349,150.975,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,5.1e-05
168757,0,25,16,0.668,0.755,4.978,18.194,18.0,97.565,150.986,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,8e-05
168757,0,25,17,0.668,0.755,5.012,18.206,18.0,96.87,150.908,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,6.7e-05
168757,0,25,18,0.667,0.755,5.011,18.211,18.0,95.527,150.932,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,7.3e-05
168757,0,25,19,0.667,0.75,5.137,18.25,18.0,94.665,150.996,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.641,8.2e-05
168757,0,25,20,0.667,0.745,5.156,18.281,18.0,93.883,151.049,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,7e-05
168757,0,25,21,0.666,0.75,5.268,18.317,18.0,93.425,151.129,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,7.7e-05
168757,0,25,22,0.666,0.75,5.295,18.337,18.0,94.341,151.292,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.641,6.5e-05
168757,0,25,23,0.666,0.75,5.314,18.328,18.0,94.052,151.268,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.637,0.000106
168757,0,25,24,0.665,0.75,5.263,18.332,18.0,95.043,151.366,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,0.000148
168757,0,25,25,0.665,0.75,5.242,18.341,18.0,95.902,151.568,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.643,0.000114
168757,0,25,26,0.665,0.75,5.202,18.339,18.0,95.457,151.624,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,0.00011
168757,0,25,27,0.665,0.75,5.191,18.339,18.0,95.224,151.722,152.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,0.000112
168757,0,25,28,0.665,0.75,5.159,18.326,18.0,95.181,151.699,152.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,0.000161
168757,0,25,29,0.665,0.755,5.167,18.326,18.0,95.591,151.622,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,0.0001
168757,0,25,30,0.665,0.75,5.161,18.332,18.0,96.289,151.439,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.64,8.1e-05
168757,0,25,31,0.665,0.75,5.157,18.319,18.0,97.569,151.251,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,4.1e-05
168757,0,25,32,0.665,0.75,5.176,18.319,18.0,98.487,151.06,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,5.5e-05
168757,0,25,33,0.665,0.75,5.179,18.307,18.0,99.77,150.891,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,7.3e-05
168757,0,25,34,0.665,0.75,5.17,18.299,18.0,100.919,150.694,151.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.638,5.9e-05
168757,0,25,35,0.665,0.75,5.182,18.294,18.0,101.179,150.537,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.636,0.000101
168757,0,25,36,0.665,0.75,5.144,18.28,18.0,101.848,150.439,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,0.000157
168757,0,25,37,0.665,0.75,5.123,18.263,18.0,101.763,150.357,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,0.000172
168757,0,25,38,0.665,0.75,5.132,18.253,18.0,101.318,150.298,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.627,5.2e-05
168757,0,25,39,0.665,0.75,5.13,18.251,18.0,101.016,150.239,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.625,5.2e-05
168757,0,25,40,0.665,0.75,5.097,18.246,18.0,101.174,150.18,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.629,6.2e-05
168757,0,25,41,0.665,0.75,5.06,18.243,18.0,100.502,150.12,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,5.4e-05
168757,0,25,42,0.665,0.75,5.048,18.237,18.0,100.097,150.132,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,8.3e-05
168757,0,25,43,0.664,0.75,5.033,18.229,18.0,100.236,150.178,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.636,7e-05
168757,0,25,44,0.664,0.75,5.052,18.224,18.0,99.7,150.168,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,6.2e-05
168757,0,25,45,0.664,0.755,5.065,18.215,18.0,99.624,150.215,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.000135
168757,0,25,46,0.664,0.75,5.045,18.212,18.0,99.725,150.238,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.632,0.000107
168757,0,25,47,0.664,0.755,5.056,18.208,18.0,99.875,150.304,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.633,9.3e-05
168757,0,25,48,0.664,0.76,5.057,18.212,18.0,99.589,150.377,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.634,5.9e-05
168757,0,25,49,0.664,0.76,5.048,18.209,18.0,99.286,150.43,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.635,6.8e-05
168757,0,25,50,0.663,0.755,5.052,18.206,18.0,99.394,150.498,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.631,8.9e-05
168757,0,25,51,0.663,0.755,5.086,18.219,18.0,100.412,150.571,150.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,0.629,0.000118
