run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,median_default_params
168757,0,25,0,0.681,0.785,4.422,15.28,15.0,32.738,88.32,88.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,6.0
168757,0,25,1,0.69,0.8,4.312,14.74,14.0,111.91,84.8,85.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,6.0
168757,0,25,2,0.69,0.76,4.461,14.377,14.0,252.03,82.663,85.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,6.0
168757,0,25,3,0.693,0.78,6.77,14.1,14.0,479.61,79.492,85.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,6.0
168757,0,25,4,0.696,0.76,8.353,13.524,14.0,759.824,74.098,85.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,5.0
168757,0,25,5,0.7,0.76,9.534,12.92,14.0,1044.825,66.773,83.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,5.0
168757,0,25,6,0.707,0.75,10.373,12.33,13.0,1208.412,59.561,82.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,7,0.712,0.75,10.396,11.901,13.0,1259.021,54.198,75.5,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,8,0.716,0.745,10.359,11.569,10.0,1260.385,50.01,31.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,9,0.719,0.75,9.836,11.375,10.0,1231.106,46.744,20.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,10,0.722,0.75,9.178,11.239,10.0,1188.921,44.116,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,11,0.725,0.75,8.655,11.113,10.0,1144.219,41.898,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,12,0.726,0.75,8.255,11.005,10.0,1099.086,40.017,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,13,0.728,0.75,7.868,10.913,10.0,1054.852,38.403,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,14,0.729,0.755,7.477,10.839,10.0,1011.934,37.023,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,15,0.731,0.755,7.123,10.774,10.0,970.147,35.848,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,16,0.732,0.755,6.794,10.722,10.0,930.303,34.842,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,17,0.732,0.755,6.543,10.663,10.0,894.296,33.888,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,18,0.733,0.755,6.327,10.618,10.0,860.174,33.067,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,19,0.734,0.755,6.087,10.579,10.0,828.281,32.322,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,20,0.735,0.755,5.865,10.545,10.0,798.543,31.645,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,21,0.735,0.755,5.651,10.512,10.0,770.754,31.028,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,22,0.736,0.755,5.49,10.477,10.0,745.047,30.471,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,23,0.736,0.755,5.313,10.447,10.0,720.652,29.939,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,24,0.737,0.755,5.163,10.421,10.0,697.895,29.449,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,25,0.737,0.755,5.05,10.397,10.0,676.431,29.01,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,4.0
168757,0,25,26,0.738,0.755,4.924,10.371,10.0,656.15,28.589,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,27,0.738,0.755,4.783,10.354,10.0,636.731,28.227,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,28,0.739,0.755,4.661,10.334,10.0,618.821,27.856,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,29,0.739,0.755,4.549,10.317,10.0,601.847,27.524,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,30,0.739,0.755,4.432,10.298,10.0,585.489,27.213,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,31,0.74,0.755,4.34,10.281,10.0,570.216,26.909,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,32,0.74,0.755,4.235,10.267,10.0,555.653,26.629,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,33,0.74,0.755,4.132,10.255,10.0,541.607,26.377,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,34,0.74,0.755,4.074,10.235,10.0,528.587,26.119,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,35,0.74,0.755,3.979,10.224,10.0,515.913,25.892,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,36,0.741,0.755,3.927,10.209,10.0,503.984,25.673,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,37,0.741,0.755,3.874,10.194,10.0,492.74,25.465,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,38,0.741,0.755,3.82,10.18,10.0,482.006,25.263,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,39,0.741,0.755,3.794,10.159,10.0,471.807,25.056,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,40,0.741,0.755,3.74,10.143,10.0,461.826,24.875,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,41,0.741,0.755,3.676,10.134,10.0,452.166,24.705,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,42,0.742,0.755,3.612,10.123,10.0,442.966,24.541,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,43,0.742,0.755,3.583,10.11,10.0,434.257,24.382,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,44,0.742,0.755,3.548,10.1,10.0,425.788,24.233,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,45,0.742,0.755,3.5,10.089,10.0,417.656,24.089,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,46,0.742,0.755,3.451,10.08,10.0,409.748,23.955,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,47,0.742,0.755,3.423,10.069,10.0,402.207,23.825,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,48,0.742,0.755,3.39,10.057,10.0,395.01,23.688,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,49,0.742,0.755,3.359,10.045,10.0,388.158,23.561,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,50,0.742,0.755,3.329,10.03,10.0,381.522,23.438,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,3.0
168757,0,25,51,0.742,0.755,3.311,10.013,10.0,375.141,23.314,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,52,0.742,0.755,3.288,9.995,10.0,369.016,23.186,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,53,0.742,0.755,3.259,9.981,10.0,362.958,23.073,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,54,0.742,0.755,3.233,9.966,10.0,357.175,22.956,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,55,0.742,0.755,3.214,9.949,10.0,351.598,22.841,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,56,0.742,0.755,3.224,9.929,10.0,346.438,22.728,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,57,0.742,0.755,3.211,9.914,10.0,341.303,22.631,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,58,0.742,0.755,3.204,9.898,10.0,336.293,22.531,18.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,59,0.742,0.755,3.19,9.884,10.0,331.361,22.438,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,60,0.742,0.755,3.177,9.868,10.0,326.517,22.35,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,61,0.742,0.755,3.195,9.849,10.0,321.975,22.253,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,62,0.742,0.755,3.198,9.83,10.0,317.605,22.156,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,63,0.742,0.755,3.197,9.813,10.0,313.332,22.072,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
168757,0,25,64,0.742,0.755,3.2,9.798,10.0,309.104,21.991,17.0,0.775,4.812,17.959,18.0,98.614,155.045,155.0,0.661,2.0
