run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4691,0.5753,0.5705,12.83,117.02
0,1,0.4691,0.5753,0.5705,12.83,117.02
0,2,0.4751,0.5865,0.5839,16.79,245.26
0,3,0.4835,0.6135,0.6107,21.64,436.07
0,4,0.4877,0.6292,0.6107,23.63,548.9
0,5,0.487,0.6315,0.6174,24.9,615.83
0,6,0.4874,0.6367,0.6242,26.72,704.03
0,7,0.49,0.6404,0.6242,27.04,762.24
0,8,0.4906,0.6434,0.6376,27.84,831.69
0,9,0.4919,0.6464,0.6376,28.3,887.63
0,10,0.4928,0.6479,0.6376,28.67,1022.45
0,11,0.4938,0.6532,0.6376,29.48,1173.3
0,12,0.4958,0.6577,0.6443,30.31,1348.89
0,13,0.4965,0.6584,0.6443,30.8,1488.41
0,14,0.498,0.6629,0.6443,31.04,1592.99
0,15,0.4992,0.6667,0.6376,31.37,1688.6
0,16,0.5004,0.6689,0.6376,31.64,1754.69
0,17,0.5008,0.6734,0.6376,31.61,1818.57
0,18,0.5012,0.6787,0.6309,31.59,1879.81
0,19,0.5019,0.6846,0.6309,31.41,1939.57
0,20,0.5017,0.6884,0.6242,31.68,2026.81
0,21,0.5017,0.6921,0.6309,31.43,2151.91
0,22,0.5017,0.6959,0.6309,31.57,2300.08
0,23,0.5017,0.6996,0.6309,31.85,2482.89
0,24,0.5018,0.7041,0.6309,32.06,2652.71
0,25,0.502,0.7056,0.6309,32.21,2845.02
0,26,0.5023,0.7071,0.6309,32.59,3074.95
0,27,0.5019,0.7109,0.6309,33.15,3373.35
0,28,0.502,0.7176,0.6309,33.71,3839.9
0,29,0.5019,0.7243,0.6309,34.04,4368.49
0,30,0.5017,0.7311,0.6309,34.47,5055.23
0,31,0.5014,0.7371,0.6309,34.83,5776.16
0,32,0.5017,0.7431,0.6309,35.29,6632.15
0,33,0.5017,0.7461,0.6309,35.81,7367.39
0,34,0.5018,0.7506,0.6309,36.27,8131.59
0,35,0.5016,0.7566,0.6309,36.6,8843.15
0,36,0.5018,0.7618,0.6376,37.09,9451.09
0,37,0.5019,0.7678,0.6376,37.28,10000.68
0,38,0.5017,0.7745,0.6376,37.45,10564.73
0,39,0.5017,0.782,0.651,37.66,11180.42
0,40,0.502,0.7865,0.651,37.78,11705.94
0,41,0.502,0.7918,0.651,37.89,12218.88
0,42,0.5023,0.7955,0.651,37.94,12665.2
0,43,0.5021,0.803,0.651,37.94,13096.68
0,44,0.5022,0.8105,0.6577,37.9,13464.3
0,45,0.5022,0.8202,0.6644,37.75,13743.06
0,46,0.5022,0.8217,0.6644,37.55,13990.72
0,47,0.5021,0.824,0.6644,37.43,14199.85
0,48,0.5022,0.827,0.6711,37.27,14435.26
0,49,0.5023,0.83,0.6711,37.01,14573.03
0,50,0.5024,0.8337,0.6779,36.72,14740.89
0,51,0.5024,0.8345,0.6846,36.36,14885.21
0,52,0.5025,0.8367,0.6846,36.06,14994.22
0,53,0.5025,0.8397,0.6846,35.77,15074.99
0,54,0.5025,0.8419,0.6846,35.41,15160.08
0,55,0.5024,0.8479,0.6846,35.15,15263.19
0,56,0.5023,0.8494,0.6846,34.82,15312.71
0,57,0.5022,0.8532,0.6846,34.53,15367.72
0,58,0.5022,0.8547,0.6846,34.28,15383.52
0,59,0.5021,0.8554,0.6846,34.03,15388.63
0,60,0.5022,0.8569,0.6846,33.75,15395.91
0,61,0.5022,0.8584,0.6846,33.58,15391.68
0,62,0.5022,0.8614,0.6846,33.35,15388.39
0,63,0.5021,0.8644,0.6846,33.15,15397.63
0,64,0.5021,0.8667,0.6846,32.83,15391.39
0,65,0.5021,0.8667,0.6846,32.59,15379.58
0,66,0.5021,0.8674,0.6913,32.5,15375.23
0,67,0.5021,0.8682,0.6913,32.32,15375.21
0,68,0.5021,0.8712,0.6913,32.13,15357.77
0,69,0.5021,0.8727,0.698,32.01,15336.46
0,70,0.5021,0.8764,0.698,31.92,15320.69
0,71,0.5021,0.8787,0.698,31.78,15319.98
0,72,0.5021,0.8801,0.698,31.69,15300.94
0,73,0.502,0.8824,0.698,31.67,15276.2
0,74,0.502,0.8824,0.698,31.59,15245.82
0,75,0.5019,0.8846,0.698,31.45,15229.54
0,76,0.5019,0.8854,0.698,31.41,15205.32
0,77,0.5018,0.8876,0.698,31.34,15185.71
0,78,0.5018,0.8884,0.698,31.18,15162.44
0,79,0.5018,0.8929,0.698,31.11,15136.64
0,80,0.5018,0.8936,0.698,30.96,15094.83
0,81,0.5019,0.8936,0.698,30.87,15065.17
0,82,0.5019,0.8959,0.698,30.7,15030.61
0,83,0.5019,0.8959,0.698,30.56,14987.13
0,84,0.5019,0.8974,0.698,30.48,14951.93
0,85,0.5019,0.8981,0.698,30.32,14897.0
0,86,0.5018,0.9026,0.698,30.2,14862.2
0,87,0.5017,0.9026,0.698,30.02,14818.52
0,88,0.5017,0.9071,0.698,29.91,14776.34
0,89,0.5016,0.9079,0.698,29.83,14732.95
0,90,0.5016,0.9086,0.698,29.73,14694.33
0,91,0.5015,0.9094,0.698,29.62,14643.04
0,92,0.5013,0.9101,0.698,29.48,14592.61
0,93,0.5012,0.9116,0.698,29.4,14564.0
0,94,0.5012,0.9116,0.698,29.37,14534.33
0,95,0.5011,0.9124,0.698,29.3,14491.43
0,96,0.5011,0.9124,0.698,29.22,14439.66
0,97,0.5012,0.9124,0.698,29.13,14381.81
0,98,0.5011,0.9124,0.698,29.0,14329.91
0,99,0.5011,0.9131,0.698,28.89,14270.62
