run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4691,0.5753,0.5705,12.83,117.02
0,1,0.4691,0.5753,0.5705,12.83,117.02
0,2,0.4803,0.609,0.6174,23.6,513.12
0,3,0.4829,0.624,0.604,28.61,653.81
0,4,0.4868,0.6262,0.6174,29.77,728.09
0,5,0.4901,0.6375,0.6107,29.56,787.19
0,6,0.4949,0.6487,0.6309,31.29,948.74
0,7,0.4981,0.6554,0.6309,31.52,1041.4
0,8,0.4984,0.6599,0.6309,31.67,1079.47
0,9,0.4993,0.6637,0.6376,31.08,1145.14
0,10,0.5014,0.6734,0.6376,31.52,1297.83
0,11,0.5025,0.6764,0.6376,31.41,1294.2
0,12,0.5034,0.6794,0.6376,31.65,1326.33
0,13,0.5051,0.6839,0.6443,31.32,1325.39
0,14,0.5065,0.6906,0.6443,30.62,1325.81
0,15,0.507,0.6899,0.6443,30.01,1333.5
0,16,0.5073,0.6944,0.6443,30.02,1335.52
0,17,0.5084,0.6981,0.651,30.07,1341.1
0,18,0.509,0.7019,0.651,29.67,1340.05
0,19,0.5098,0.7034,0.651,29.46,1333.92
0,20,0.5104,0.7019,0.651,29.26,1336.48
0,21,0.5106,0.7041,0.6577,29.18,1357.74
0,22,0.5107,0.7056,0.6577,28.97,1375.07
0,23,0.5109,0.7064,0.6577,28.77,1389.96
0,24,0.5112,0.7064,0.6577,28.61,1394.54
0,25,0.5109,0.7079,0.6644,28.77,1405.3
0,26,0.5112,0.7109,0.6644,28.72,1438.64
0,27,0.5112,0.7139,0.6644,28.93,1508.88
0,28,0.5114,0.7176,0.6577,28.76,1586.49
0,29,0.5114,0.7191,0.6577,28.66,1666.63
0,30,0.5115,0.7221,0.6577,28.57,1728.03
0,31,0.5117,0.7236,0.6644,28.38,1784.52
0,32,0.5121,0.7236,0.6711,28.19,1832.35
0,33,0.5123,0.7258,0.6711,28.05,1879.79
0,34,0.5123,0.7318,0.6711,27.94,2077.9
0,35,0.5121,0.7318,0.6711,27.99,2284.59
0,36,0.5119,0.7341,0.6711,28.07,2474.28
0,37,0.5119,0.7371,0.6711,28.11,2790.79
0,38,0.5118,0.7423,0.6711,28.19,3092.26
0,39,0.5118,0.7446,0.6711,28.09,3362.57
0,40,0.5117,0.7491,0.6711,28.06,3690.3
0,41,0.5116,0.7521,0.6779,28.08,4002.83
0,42,0.5116,0.7543,0.6711,28.14,4311.08
0,43,0.5114,0.7558,0.6711,28.37,4618.88
0,44,0.5113,0.7596,0.6711,28.33,4858.97
